,Title,Domestic_Total_Gross,Distributor,Release_Date,Runtime,Production_Budget,MPAA_Rating,Genre
0,Black Panther,700059566,Buena Vista,"February 16, 2018",140,N/A,PG-13,Action / Adventure
1,Avengers: Infinity War,678815482,Buena Vista,"April 27, 2018",156,N/A,PG-13,Action / Adventure
2,Incredibles 2,608581744,Buena Vista,"June 15, 2018",118,N/A,PG,Animation
3,Jurassic World: Fallen Kingdom,417719760,Universal,"June 22, 2018",128,170 000000,PG-13,Action / Adventure
4,Aquaman,335061807,Warner Bros.,"December 21, 2018",139,N/A,PG-13,Action / Adventure
5,Deadpool 2,318491426,Fox,"May 18, 2018",119,110 000000,R,Action
6,Dr. Seuss' The Grinch,270620950,Universal,"November 9, 2018",90,75 000000,PG,Animation
7,Mission: Impossible - Fallout,220159104,Paramount,"July 27, 2018",147,178 000000,PG-13,Action
8,Ant-Man and the Wasp,216648740,Buena Vista,"July 6, 2018",118,N/A,PG-13,Action
9,Bohemian Rhapsody,216428042,Fox,"November 2, 2018",134,52 000000,PG-13,Drama
10,A Star is Born,215288866,Warner Bros.,"October 5, 2018",136,36 000000,R,Music Drama
11,Solo: A Star Wars Story,213767512,Buena Vista,"May 25, 2018",135,275 000000,PG-13,Action / Adventure
12,Venom,213515506,Sony / Columbia,"October 5, 2018",112,100 000000,PG-13,Action
13,Ralph Breaks the Internet,201091711,Buena Vista,"November 21, 2018",112,175 000000,PG,Animation
14,Spider-Man: Into The Spider-Verse,190241310,Sony / Columbia,"December 14, 2018",117,90 000000,PG,Animation
15,A Quiet Place,188024361,Paramount,"April 6, 2018",95,17 000000,PG-13,Horror Thriller
16,Crazy Rich Asians,174532921,Warner Bros.,"August 15, 2018",120,30 000000,PG-13,Romantic Comedy
17,Mary Poppins Returns,171958438,Buena Vista,"December 19, 2018",130,130 000000,PG,Musical
18,Hotel Transylvania 3: Summer Vacation,167510016,Sony / Columbia,"July 13, 2018",97,80 000000,PG,Animation
19,Fantastic Beasts: The Crimes of Grindelwald,159555901,Warner Bros.,"November 16, 2018",134,200 000000,PG-13,Fantasy
20,Halloween,159342015,Universal,"October 19, 2018",109,10 000000,R,Horror
21,The Meg,145443742,Warner Bros.,"August 10, 2018",113,130 000000,PG-13,Sci-Fi Thriller
22,Ocean's 8,140218711,Warner Bros.,"June 8, 2018",110,70 000000,PG-13,Action / Adventure
23,Ready Player One,137690172,Warner Bros.,"March 29, 2018",140,175 000000,PG-13,Sci-Fi Action
24,Bumblebee,127195589,Paramount,"December 21, 2018",114,135 000000,PG-13,Sci-Fi Action
25,Mamma Mia! Here We Go Again,120634935,Universal,"July 20, 2018",114,75 000000,PG-13,Musical
26,The Nun,117450119,Warner Bros. (New Line),"September 7, 2018",96,22 000000,R,Horror
27,Creed II,115715889,MGM,"November 21, 2018",117,50 000000,PG-13,Sports Drama
28,Peter Rabbit,115253424,Sony / Columbia,"February 9, 2018",93,50 000000,PG,Family
29,The Mule,103804407,Warner Bros.,"December 14, 2018",116,50 000000,R,Crime Drama
30,The Equalizer 2,102084362,Sony / Columbia,"July 20, 2018",121,62 000000,R,Thriller
31,Rampage,101028233,Warner Bros. (New Line),"April 13, 2018",107,120 000000,PG-13,Action / Adventure
32,A Wrinkle in Time,100478608,Buena Vista,"March 9, 2018",115,N/A,PG,Fantasy
33,Fifty Shades Freed,100407760,Universal,"February 9, 2018",105,55 000000,R,Romance
34,Disney's Christopher Robin,99215042,Buena Vista,"August 3, 2018",104,75 000000,PG,Fantasy
35,Green Book,85080171,Universal,"November 16, 2018",130,23 000000,PG-13,Comedy / Drama
36,I Can Only Imagine,83482352,Roadside Attractions,"March 16, 2018",110,7 000000,PG,Family
37,Smallfoot,83240103,Warner Bros.,"September 28, 2018",87,N/A,PG,Animation
38,Night School,77339130,Universal,"September 28, 2018",111,29 000000,PG-13,Comedy
39,The First Purge,69488745,Universal,"July 4, 2018",97,13 000000,R,Thriller
40,Game Night,69179066,Warner Bros. (New Line),"February 23, 2018",100,37 000000,R,Action Comedy
41,Book Club,68566296,Paramount,"May 18, 2018",104,N/A,PG-13,Comedy
42,The House With A Clock In Its Walls,68549695,Universal,"September 21, 2018",104,42 000000,PG,Fantasy
43,Skyscraper,68420120,Universal,"July 13, 2018",102,125 000000,PG-13,Action
44,Insidious: The Last Key,67745330,Universal,"January 5, 2018",103,10 000000,PG-13,Horror
45,Instant Family,67363237,Paramount,"November 16, 2018",119,48 000000,PG-13,Comedy
46,Blockers,60311495,Universal,"April 6, 2018",102,21 000000,R,Comedy
47,Pacific Rim Uprising,59874525,Universal,"March 23, 2018",111,150 000000,PG-13,Sci-Fi Action
