,Title,Domestic_Total_Gross,Distributor,Release_Date,Runtime,Production_Budget,MPAA_Rating,Genre
0,Avengers: Endgame,858373000,Buena Vista,"April 26, 2019",181,356 000000,PG-13,Action / Adventure
1,The Lion King,531273775 (Estimate),Buena Vista,"July 19, 2019",118,260 000000,PG,Action / Adventure
2,Toy Story 4,431956259,Buena Vista,"June 21, 2019",100,N/A,G,Animation
3,Captain Marvel,426829839,Buena Vista,"March 8, 2019",128,N/A,PG-13,Action / Adventure
4,Spider-Man: Far from Home,388689554 (Estimate),Sony / Columbia,"July 2, 2019",129,160 000000,PG-13,Action / Adventure
5,Aladdin,354873567,Buena Vista,"May 24, 2019",128,183 000000,PG,Fantasy
6,Us,175005930,Universal,"March 22, 2019",116,20 000000,R,Thriller
7,John Wick: Chapter 3 - Parabellum,171015687,Lionsgate/Summit,"May 17, 2019",130,N/A,R,Action
8,Fast & Furious Presents: Hobbs & Shaw,166227320 (Estimate),Universal,"August 2, 2019",136,200 000000,PG-13,Action
9,How to Train Your Dragon: The Hidden World,160799505,Universal,"February 22, 2019",104,129 000000,PG,Animation
10,The Secret Life of Pets 2,158141960,Universal,"June 7, 2019",86,80 000000,PG,Animation
11,Pokemon Detective Pikachu,144105346,Warner Bros.,"May 10, 2019",100,150 000000,PG,Family
12,Shazam!,140371656,Warner Bros. (New Line),"April 5, 2019",132,100 000000,PG-13,Action
13,Once Upon a Time in Hollywood,135781627 (Estimate),Sony / Columbia,"July 26, 2019",161,90 000000,R,Comedy / Drama
14,It: Chapter Two,125868524 (Estimate),Warner Bros. (New Line),"September 6, 2019",169,N/A,R,Horror
15,Dumbo,114766307,Buena Vista,"March 29, 2019",115,170 000000,PG,Adventure
16,Glass,111035005,Universal,"January 18, 2019",129,20 000000,PG-13,Thriller
17,Godzilla: King of the Monsters,110500138,Warner Bros.,"May 31, 2019",132,170 000000,PG-13,Sci-Fi Action
18,The Upside,108252517,STX Entertainment,"January 11, 2019",118,37.5 000000,PG-13,Comedy
19,The LEGO Movie 2: The Second Part,105806508,Warner Bros.,"February 8, 2019",106,N/A,PG,Animation
20,Rocketman,96368160,Paramount,"May 31, 2019",121,40 000000,R,Musical
21,Alita: Battle Angel,85710210,Fox,"February 14, 2019",122,170 000000,PG-13,Action / Adventure
22,Men in Black International,79800736,Sony / Columbia,"June 14, 2019",115,110 000000,PG-13,Sci-Fi Comedy
23,Annabelle Comes Home,73652912,Warner Bros. (New Line),"June 26, 2019",100,N/A,R,Horror
24,Yesterday,73286650,Universal,"June 28, 2019",112,26 000000,PG-13,Comedy
25,Tyler Perry's A Madea Family Funeral,73257045,Lionsgate,"March 1, 2019",109,N/A,PG-13,Comedy
26,Good Boys,70216735 (Estimate),Universal,"August 16, 2019",N/A,20 000000,R,Comedy
27,Dark Phoenix,65845974,Fox,"June 7, 2019",114,N/A,PG-13,Action
